state,action,reward,sprime,aprime
113,8,0.000000,5,81
81,5,0.000000,5,81
81,5,0.000000,9,121
121,9,0.000000,7,96
96,7,0.000000,5,104
104,5,0.000000,7,96
96,7,0.000000,0,128
128,0,0.000000,0,96
96,0,0.000000,2,128
128,2,0.000000,6,0
0,6,0.000000,6,0
0,6,0.000000,9,16
16,9,0.000000,9,81
81,9,0.000000,0,80
80,0,1.000000,0,80
80,0,0.000000,0,80
80,0,1.000000,4,0
0,4,1.000000,4,0
0,4,1.000000,4,0
0,4,1.000000,3,64
64,3,1.000000,3,64
64,3,0.000000,3,64
64,3,1.000000,0,48
48,0,0.000000,0,48
48,0,0.000000,5,56
56,5,0.000000,4,0
0,4,0.000000,4,0
0,4,0.000000,2,96
96,2,0.000000,5,64
64,5,0.000000,5,64
64,5,0.000000,6,16
16,6,0.000000,3,96
96,3,0.000000,3,96
96,3,0.000000,8,80
80,8,0.000000,4,48
48,4,0.000000,4,48
48,4,0.000000,4,112
112,4,0.000000,4,64
64,4,0.000000,4,64
64,4,0.000000,1,72
72,1,0.000000,2,64
64,2,0.000000,2,64
64,2,0.000000,0,32
32,0,0.000000,7,16
16,7,0.000000,7,24
24,7,0.000000,2,0
0,2,0.000000,9,128
128,9,0.000000,3,129
129,3,0.000000,8,17
17,8,0.000000,8,17
17,8,0.000000,9,49
49,9,0.000000,8,112
112,8,0.000000,8,112
112,8,0.000000,1,112
112,1,0.000000,3,112
112,3,0.000000,1,32
32,1,0.000000,1,32
48,3,0.000000,8,40
64,6,0.000000,8,16
16,8,0.000000,4,80
80,4,0.000000,4,80
80,4,0.000000,8,112
112,8,0.000000,1,64
64,1,0.000000,1,64
64,1,0.000000,2,112
112,2,0.000000,6,32
32,6,0.000000,6,32
32,6,0.000000,5,16
16,5,0.000000,5,80
80,5,0.000000,5,80
80,5,0.000000,2,80
80,2,0.000000,4,96
96,4,0.000000,4,96
96,4,0.000000,1,16
16,1,0.000000,1,16
16,1,0.000000,8,64
64,8,0.000000,3,32
32,3,0.000000,3,32
32,3,0.000000,3,32
32,3,0.000000,0,112
112,0,0.000000,2,56
56,2,0.000000,9,48
48,9,0.000000,2,1
1,2,0.000000,7,17
17,7,0.000000,7,17
17,7,0.000000,9,25
25,9,0.000000,8,128
128,8,0.000000,8,128
128,8,0.000000,0,128
128,0,0.000000,9,112
113,6,0.000000,4,1
1,4,0.000000,4,1
1,4,0.000000,6,81
81,6,0.000000,8,65
65,8,0.000000,6,81
81,6,0.000000,7,81
81,7,0.000000,7,81
81,7,0.000000,1,113
113,1,0.000000,6,129
129,6,0.000000,6,129
129,6,0.000000,2,33
33,2,0.000000,8,81
81,8,0.000000,8,81
81,8,0.000000,2,17
17,2,0.000000,7,113
113,7,0.000000,6,121
121,6,0.000000,3,25
25,3,0.000000,0,129
129,0,0.000000,2,89
89,2,0.000000,8,49
49,8,0.000000,0,1
1,0,0.000000,1,17
17,1,0.000000,5,113
113,5,0.000000,5,1
1,5,0.000000,1,33
33,1,0.000000,7,97
97,7,0.000000,7,97
97,7,0.000000,3,33
33,3,0.000000,5,129
129,5,0.000000,5,129
129,5,0.000000,6,49
49,6,0.000000,1,97
97,1,0.000000,1,97
97,1,0.000000,2,81
81,2,0.000000,5,33
33,5,0.000000,5,33
33,5,0.000000,6,17
17,6,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,3,81
81,3,0.000000,4,97
97,4,0.000000,4,97
